---------------------------------------------------------
|            ARTIST            |     # OF APPEARANCES   |
---------------------------------------------------------
|                Juice WRLD    |            9           |
|                       RBD    |            9           |
|                  Big Sean    |            6           |
|                 Pop Smoke    |            5           |
|                     Ozuna    |            5           |
|             Billie Eilish    |            5           |
|                    Maluma    |            4           |
|              Travis Scott    |            4           |
|                Ed Sheeran    |            4           |
|              Harry Styles    |            3           |
|                     Drake    |            3           |
|                  J Balvin    |            3           |
|                  Dua Lipa    |            3           |
|               Post Malone    |            3           |
|                   6ix9ine    |            3           |
|                The Weeknd    |            2           |
|                 Jawsh 685    |            2           |
|                 BLACKPINK    |            2           |
|                   KAROL G    |            2           |
|            Internet Money    |            2           |
|                 Lady Gaga    |            2           |
|            Rauw Alejandro    |            2           |
|               Miley Cyrus    |            2           |
|                      Sech    |            2           |
|             Lewis Capaldi    |            2           |
|               Jack Harlow    |            2           |
|                 DJ Khaled    |            2           |
|               Chris Brown    |            2           |
|             Ariana Grande    |            2           |
|                  Maroon 5    |            2           |
|                  Saweetie    |            2           |
|              Taylor Swift    |            2           |
|                Marshmello    |            2           |
|                    Regard    |            2           |
|                    Camilo    |            2           |
|                  Doja Cat    |            2           |
|                 Bad Bunny    |            2           |
|              XXXTENTACION    |            2           |
|                      Kygo    |            2           |
|                    Polo G    |            2           |
|                   Cardi B    |            1           |
|                  24kGoldn    |            1           |
|                       BTS    |            1           |
|                    DaBaby    |            1           |
|                 SAINt JHN    |            1           |
|                Joel Corry    |            1           |
|                     Topic    |            1           |
|                Conan Gray    |            1           |
|               Jay Wheeler    |            1           |
|               Tones And I    |            1           |
|                Nio Garcia    |            1           |
|                Tate McRae    |            1           |
|                     Powfu    |            1           |
|                     Tainy    |            1           |
|                       SZA    |            1           |
|                 Lil Mosey    |            1           |
|              Aya Nakamura    |            1           |
|             Calvin Harris    |            1           |
|           Black Eyed Peas    |            1           |
|                   Ava Max    |            1           |
|                 Surf Mesa    |            1           |
|              Jason Derulo    |            1           |
|                    Trueno    |            1           |
|                      KHEA    |            1           |
|                  Labrinth    |            1           |
|            StaySolidRocky    |            1           |
|               Roddy Ricch    |            1           |
|         Machine Gun Kelly    |            1           |
|                  Jerry Di    |            1           |
|              Shawn Mendes    |            1           |
|                     BØRNS    |            1           |
|             Trevor Daniel    |            1           |
|                  Bonez MC    |            1           |
|                   ROSALÍA    |            1           |
|             Justin Bieber    |            1           |
|                 Super Yei    |            1           |
|                  Anuel AA    |            1           |
|             Curtis Waters    |            1           |
|                       Jul    |            1           |
|                    Future    |            1           |
|            Arizona Zervas    |            1           |
|                      Feid    |            1           |
|                Kane Brown    |            1           |
|                THE SCOTTS    |            1           |
|                   JP Saxe    |            1           |
|                  Surfaces    |            1           |
|                   WhoHeem    |            1           |
|           Imagine Dragons    |            1           |
|                     BENEE    |            1           |
|                     Niack    |            1           |
|                    Ufo361    |            1           |
|      Bring Me The Horizon    |            1           |
|                    Eminem    |            1           |
|               Don Toliver    |            1           |
|                Harry Nach    |            1           |
|                 blackbear    |            1           |
|          Melanie Martinez    |            1           |
|                Bea Miller    |            1           |
|                     Queen    |            1           |
|               Jhay Cortez    |            1           |
|            Kendrick Lamar    |            1           |
|              James Arthur    |            1           |
|                       Nea    |            1           |
|       Megan Thee Stallion    |            1           |
|                   Wallows    |            1           |
|                    MEDUZA    |            1           |
|                      K/DA    |            1           |
|               salem ilese    |            1           |
|             Justin Quiles    |            1           |
|                     Gunna    |            1           |
|                      ITZY    |            1           |
|             Manuel Turizo    |            1           |
|               KitschKrieg    |            1           |
|              Robin Schulz    |            1           |
|             The Kid LAROI    |            1           |
|                   BANNERS    |            1           |
|               John Legend    |            1           |
|            Jonas Esticado    |            1           |
|             Morgan Wallen    |            1           |
|                 Alex Rose    |            1           |
|                Headie One    |            1           |
---------------------------------------------------------
